10000nodeinput1.txt
 , Test9_50000_A_0.375_RO_0.375_S_0.25.txt, Test2_50000_A_0.0_RO_1.0_S_0.0.txt, Test3_50000_A_0.0_RO_0.0_S_1.0.txt, Test7_50000_A_0.75_RO_0.25_S_0.0.txt, Test8_50000_A_0.25_RO_0.75_S_0.0.txt, Test10_50000_A_0.125_RO_0.125_S_0.75.txt, Test11_50000_A_0.25_RO_0.25_S_0.5.txt, Test5_50000_A_0.5_RO_0.5_S_0.0.txt, Test1_50000_A_1.0_RO_0.0_S_0.0.txt, Test4_50000_A_0.5_RO_0.0_S_0.5.txt, Test6_50000_A_0.0_RO_0.5_S_0.5.txt, 
BstMultiset, 0.08289858438, 0.07095656498000003, 0.0711960699, 0.07998471685999997, 0.08430596938000003, 0.07970240865999999, 0.07951223486, 0.07660727614000001, 0.06919527714000001, 0.07546950167999998, 0.07513186327999999, 
LinkedListMultiset, 4.52660606856, 2.3224221430000003, 2.0812498085, 3.4464690318399995, 3.60286666118, 4.5179722334, 4.892730575899999, 2.9707512956600004, 2.15710032338, 2.7146320492, 3.0163353189199995, 
HashMultiset, 0.06330099057999998, 0.052269264119999985, 0.04676491653999999, 0.054067518260000016, 0.05651130169999998, 0.060530764580000014, 0.052667830340000006, 0.054109928900000014, 0.05386880258, 0.05081501413999999, 0.05031233268000001, 
BalTreeMultiset, 0.09401273419999998, 0.08900093053999997, 0.06692811652000001, 0.09912838855999999, 0.09561874957999997, 0.08654602816000002, 0.09264351036000003, 0.10136025543999998, 0.09108725284000002, 0.10028747074000004, 0.08306989096000002, 
SortedLinkedListMultiset, 3.999295923520001, 2.9317305294400002, 2.7557284370399993, 4.349561322820001, 4.3812621734200015, 4.2158262972800005, 4.5748272747800005, 3.542539544519999, 3.1195923543799995, 3.7108484647000006, 3.4217136633400003, 

sorted10000nodeinput1.txt
 , Test9_50000_A_0.375_RO_0.375_S_0.25.txt, Test2_50000_A_0.0_RO_1.0_S_0.0.txt, Test3_50000_A_0.0_RO_0.0_S_1.0.txt, Test7_50000_A_0.75_RO_0.25_S_0.0.txt, Test8_50000_A_0.25_RO_0.75_S_0.0.txt, Test10_50000_A_0.125_RO_0.125_S_0.75.txt, Test11_50000_A_0.25_RO_0.25_S_0.5.txt, Test5_50000_A_0.5_RO_0.5_S_0.0.txt, Test1_50000_A_1.0_RO_0.0_S_0.0.txt, Test4_50000_A_0.5_RO_0.0_S_0.5.txt, Test6_50000_A_0.0_RO_0.5_S_0.5.txt, 
BstMultiset, 1.22432499874, 2.0328414836400004, 1.47548362424, 1.4390346755400003, 1.3718964942600003, 1.0587657051, 1.0603569663, 1.6595151276999998, 2.4584305755799996, 1.5632400796999995, 1.44845128168, 
LinkedListMultiset, 2.5829356190600006, 2.1102637011400005, 2.0739374532600006, 3.03223987522, 2.27953969518, 2.6671313206600002, 2.7158477841600006, 2.6351204543200004, 1.9004032083799995, 2.5406836817200005, 2.79856169016, 
HashMultiset, 0.053578797399999975, 0.0541691502, 0.045452934240000006, 0.05444382110000001, 0.05366897764000001, 0.05058083388, 0.0535965382, 0.053206957520000014, 0.05933248034, 0.05642646331999999, 0.050304797740000025, 
BalTreeMultiset, 0.08180927067999999, 0.07133867890000002, 0.056011393820000005, 0.08500507092, 0.08149904160000002, 0.07241432208, 0.07798252462, 0.09294048736, 0.0767834126, 0.07808177578, 0.07017019298000002, 
SortedLinkedListMultiset, 3.1271595147799998, 2.0036682053799995, 1.90337992384, 3.1530024306999995, 2.91914948296, 3.5741041859799996, 3.48842344598, 2.42141775294, 2.15059901844, 2.5150497983399998, 2.4162896739199997, 

reverse10000nodeinput1.txt
 , Test9_50000_A_0.375_RO_0.375_S_0.25.txt, Test2_50000_A_0.0_RO_1.0_S_0.0.txt, Test3_50000_A_0.0_RO_0.0_S_1.0.txt, Test7_50000_A_0.75_RO_0.25_S_0.0.txt, Test8_50000_A_0.25_RO_0.75_S_0.0.txt, Test10_50000_A_0.125_RO_0.125_S_0.75.txt, Test11_50000_A_0.25_RO_0.25_S_0.5.txt, Test5_50000_A_0.5_RO_0.5_S_0.0.txt, Test1_50000_A_1.0_RO_0.0_S_0.0.txt, Test4_50000_A_0.5_RO_0.0_S_0.5.txt, Test6_50000_A_0.0_RO_0.5_S_0.5.txt, 
BstMultiset, 1.1701105108799998, 1.58042634226, 1.20628213502, 1.2191393027600004, 1.2203054762199999, 1.12646773486, 1.1503260799000001, 1.3921083339999998, 1.84153624678, 1.2563964516399997, 1.1836090352399997, 
LinkedListMultiset, 3.5583605851600004, 2.1972819127400003, 2.0884053553, 3.236664893099999, 3.48078951222, 3.18228771736, 3.3336689862, 2.7016258126399997, 1.9604803070200005, 2.6668273037, 2.8382182407800003, 
HashMultiset, 0.05814092015999999, 0.060853102440000015, 0.04999448325999999, 0.05843811895999997, 0.05439349142000001, 0.04950052288, 0.04878050618000002, 0.05851013178, 0.06615864912, 0.060685175200000004, 0.05852960489999999, 
BalTreeMultiset, 0.08113176705999998, 0.07530235928000001, 0.05855776488000001, 0.08413152258, 0.08116170192, 0.07269494927999998, 0.07839254252, 0.0847756353, 0.08245503044000001, 0.0885568816, 0.07012687785999998, 
SortedLinkedListMultiset, 4.3462899428999995, 2.3869833953399997, 2.2386158086000005, 4.1363279546000005, 3.8817578829399997, 4.626643530020001, 4.78243661548, 3.1594412461000014, 2.4121290699599998, 2.9098627884400003, 2.9681265458800006, 

